deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
cz-364_0302_aac.wav,3.0049253,2.4094722,3.2525628,3.004997,3.7320826,NISQAv2
cz-364_0302_opus.wav,3.3274145,2.9219153,3.5443997,3.282068,3.9243352,NISQAv2
cz-364_0329_g722.wav,3.2100797,2.357654,4.1653295,3.9563808,3.8748922,NISQAv2
cz-364_0221_g722.wav,3.1444762,2.2252538,3.876111,3.1507502,3.568127,NISQAv2
cz-364_0257_g722.wav,3.521308,2.465419,4.1845894,3.6966126,3.7685568,NISQAv2
cz-448_0440_g722.wav,3.0045388,2.0678365,4.35168,3.6759832,3.8281763,NISQAv2
cz-364_0248_opus.wav,4.2088842,3.4956052,4.439002,4.0812416,4.006212,NISQAv2
cz-448_0421_aac.wav,3.7716548,2.103274,4.3949037,4.106978,4.118259,NISQAv2
cz-364_0293_opus.wav,3.8447132,3.1105845,4.1721745,3.9589446,4.086448,NISQAv2
cz-392_0366_aac.wav,3.96042,3.374449,4.387457,3.8788762,4.2104044,NISQAv2
cz-448_0430_aac.wav,3.4534733,2.4619906,4.24302,3.8772564,3.6502814,NISQAv2
cz-364_0357_aac.wav,3.9285796,3.2245033,4.166033,4.0445642,4.191126,NISQAv2
cz-364_0348_g722.wav,3.682114,3.5311847,4.236754,4.048333,3.9677858,NISQAv2
cz-392_0366_opus.wav,4.288111,3.8541262,4.4995317,4.1708302,4.36971,NISQAv2
cz-364_0275_g722.wav,3.79688,2.3987856,4.376399,4.0457807,4.088696,NISQAv2
cz-364_0284_opus.wav,3.9749396,2.9112525,4.262192,3.9817293,4.165691,NISQAv2
cz-364_0357_opus.wav,4.1892557,3.6600273,4.3553677,4.2058263,4.354704,NISQAv2
cz-448_0421_g722.wav,3.8944805,2.2058024,4.4644594,4.1610627,4.1649213,NISQAv2
cz-364_0320_opus.wav,3.8496125,2.6270888,3.9880383,3.9437199,4.084574,NISQAv2
cz-364_0203_g722.wav,3.4433599,2.1124783,4.2605863,3.7920086,4.0315957,NISQAv2
cz-364_0338_g722.wav,3.8614182,3.0721545,4.349884,3.9815314,4.240562,NISQAv2
cz-364_0230_g722.wav,3.4078083,2.9971535,4.2368803,3.943735,3.612415,NISQAv2
cz-448_0440_aac.wav,2.6126277,2.097338,4.059395,3.581633,3.365699,NISQAv2
cz-364_0212_aac.wav,3.9456024,2.5788147,4.4108553,4.0530906,4.2178874,NISQAv2
cz-0194_g722.wav,3.6927593,2.8950894,4.2424717,4.1779943,3.9814794,NISQAv2
cz-392_0375_aac.wav,3.6697328,2.6891272,4.3676596,3.670339,3.9698422,NISQAv2
cz-0194_aac.wav,3.7393162,2.6703627,4.2144957,4.011141,3.8673072,NISQAv2
cz-364_0284_aac.wav,3.6845632,2.4166198,4.5509715,4.119187,4.1687965,NISQAv2
cz-364_0311_aac.wav,3.5652478,2.2267597,4.0206504,3.6983833,3.8682086,NISQAv2
cz-392_0375_g722.wav,3.6705728,2.3547168,4.3891287,3.9814684,4.245106,NISQAv2
cz-392_0384_opus.wav,3.6676626,3.011411,4.2191916,3.9093015,4.1099324,NISQAv2
cz-364_0266_opus.wav,2.670462,3.1484418,2.631429,2.9982426,3.599447,NISQAv2
cz-364_0257_aac.wav,3.3507583,2.3003101,4.0494285,3.549472,3.7611358,NISQAv2
cz-364_0311_g722.wav,3.633952,2.2176712,4.01587,3.6483376,4.0298204,NISQAv2
cz-364_0203_aac.wav,3.4693193,2.1212637,4.2468686,3.7576592,3.9561539,NISQAv2
cz-364_0212_g722.wav,3.9577844,2.4214008,4.5356197,4.1354795,4.288671,NISQAv2
cz-364_0239_opus.wav,4.0347877,3.4758186,4.2665453,3.998006,4.165617,NISQAv2
cz-448_0430_g722.wav,3.6739724,2.3205147,4.3555717,4.051288,4.032661,NISQAv2
cz-364_0239_aac.wav,3.8323104,3.0747921,4.265138,4.0265565,4.1374316,NISQAv2
cz-448_0440_opus.wav,2.9023635,2.540625,3.960487,3.841067,3.2235658,NISQAv2
cz-364_0248_g722.wav,4.015383,3.2210822,4.410963,4.061762,4.115435,NISQAv2
cz-364_0293_g722.wav,3.7009928,2.549185,4.3107996,4.00215,4.124293,NISQAv2
cz-364_0348_aac.wav,3.8909533,2.8353472,4.517754,4.0854883,4.092007,NISQAv2
cz-364_0230_aac.wav,3.3878725,2.7059267,4.151414,3.7032092,3.7349887,NISQAv2
cz-364_0257_opus.wav,3.694211,2.967734,4.173278,3.7160556,3.8145142,NISQAv2
cz-364_0302_g722.wav,2.7662919,2.2841518,2.6680331,2.7474554,3.690318,NISQAv2
cz-364_0329_opus.wav,2.6906905,2.4244475,3.729294,3.5091045,3.7582104,NISQAv2
cz-364_0221_opus.wav,3.2588866,2.7059247,4.0193663,3.3146331,3.683819,NISQAv2
cz-364_0221_aac.wav,3.4803956,2.310699,4.050425,3.6619132,3.8802772,NISQAv2
cz-364_0320_g722.wav,3.7751393,2.5359185,4.2398143,3.9143448,4.058333,NISQAv2
cz-448_0421_opus.wav,3.9486804,2.702781,4.4239817,4.0245094,4.09224,NISQAv2
cz-364_0203_opus.wav,3.6862557,2.6768262,4.161322,3.9099474,4.056722,NISQAv2
cz-392_0366_g722.wav,4.186326,3.2691135,4.498419,4.1441216,4.358214,NISQAv2
cz-364_0284_g722.wav,3.867679,2.3868341,4.5561247,4.0644827,4.2169447,NISQAv2
cz-364_0275_opus.wav,3.6670992,2.7398248,4.3021407,3.8932288,3.9149394,NISQAv2
cz-364_0357_g722.wav,3.9240649,3.064758,4.2669487,4.097279,4.1907287,NISQAv2
cz-364_0348_opus.wav,4.259284,3.5377765,4.39239,4.1631885,4.226908,NISQAv2
cz-364_0275_aac.wav,3.867299,2.4994972,4.465252,4.0148187,4.0716763,NISQAv2
cz-392_0384_aac.wav,3.7668464,2.7254617,4.2578993,3.9224474,4.001839,NISQAv2
cz-364_0329_aac.wav,3.2739897,2.3717954,4.235587,4.0115843,3.96372,NISQAv2
cz-392_0384_g722.wav,3.8869534,2.6101234,4.256158,4.0420103,4.1634746,NISQAv2
cz-392_0375_opus.wav,4.0257387,3.5545769,4.308509,3.8451219,4.2187257,NISQAv2
cz-364_0266_g722.wav,3.4370618,2.8017704,3.807698,3.4359286,3.657644,NISQAv2
cz-364_0293_aac.wav,3.6733544,2.5775692,4.1777964,3.9864666,4.0621734,NISQAv2
cz-364_0320_aac.wav,3.7021644,2.4610293,4.254434,3.85281,3.9406934,NISQAv2
cz-364_0248_aac.wav,4.027291,3.0047562,4.4369583,3.9792364,3.9584994,NISQAv2
cz-364_0338_opus.wav,4.0713015,3.540247,4.404503,4.056395,4.2335424,NISQAv2
cz-364_0230_opus.wav,3.7459676,3.3029268,4.1097436,3.670909,3.3508508,NISQAv2
cz-0194_opus.wav,3.9679139,3.1781733,4.376382,4.334717,4.075723,NISQAv2
cz-364_0212_opus.wav,4.070383,2.730255,4.564598,4.1251626,4.3140855,NISQAv2
cz-364_0239_g722.wav,3.8708293,2.9830353,4.146489,4.0298905,4.149945,NISQAv2
cz-448_0430_opus.wav,3.9684052,3.0572145,4.2996974,4.1646285,4.12429,NISQAv2
cz-364_0266_aac.wav,2.7824044,2.5020893,2.7299612,2.8123012,3.317942,NISQAv2
cz-364_0338_aac.wav,3.6892989,2.9165618,4.217588,3.8937168,4.1762004,NISQAv2
cz-364_0311_opus.wav,3.6087532,2.5530074,4.0423913,3.5623882,3.9528174,NISQAv2
